"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年12月27日","399,072","424,176","426,468","396,512","43.83K","-5.92%"
"2018年12月26日","424,180","417,676","428,057","408,145","45.42K","1.55%"
"2018年12月25日","417,686","445,567","446,404","405,379","66.31K","-6.26%"
"2018年12月24日","445,567","438,617","469,782","438,520","64.24K","1.57%"
"2018年12月23日","438,693","443,017","450,580","434,392","43.79K","-0.97%"
"2018年12月22日","442,975","427,710","445,861","421,968","39.98K","3.62%"
"2018年12月21日","427,496","453,236","462,617","419,567","81.56K","-5.67%"
"2018年12月20日","453,191","413,146","464,879","411,353","100.78K","9.69%"
"2018年12月19日","413,145","412,436","440,765","408,811","81.97K","0.17%"
"2018年12月18日","412,455","394,552","414,120","385,502","49.09K","4.53%"
"2018年12月17日","394,583","362,662","404,702","362,230","55.64K","8.80%"
"2018年12月16日","362,662","360,518","370,124","360,370","25.75K","0.57%"
"2018年12月15日","360,606","362,375","366,055","354,326","28.67K","-0.48%"
"2018年12月14日","362,359","371,358","374,010","355,845","43.80K","-2.41%"
"2018年12月13日","371,295","388,701","389,613","366,913","40.58K","-4.49%"
"2018年12月12日","388,746","378,924","394,763","378,296","38.97K","1.67%"
"2018年12月11日","382,352","387,114","388,277","373,842","36.41K","-1.21%"
"2018年12月10日","387,025","398,170","404,736","381,865","41.30K","-2.81%"
"2018年12月09日","398,227","383,609","411,169","381,246","42.63K","3.85%"
"2018年12月08日","383,461","380,590","392,748","366,831","47.24K","0.75%"
"2018年12月07日","380,590","388,862","399,685","361,918","88.09K","-2.01%"
"2018年12月06日","388,406","419,211","433,862","387,224","71.53K","-7.35%"
"2018年12月05日","419,226","440,488","442,368","416,181","56.27K","-4.84%"
"2018年12月04日","440,552","436,578","455,355","423,797","62.34K","0.94%"
"2018年12月03日","436,432","466,848","468,374","427,496","56.55K","-6.53%"
"2018年12月02日","466,903","471,374","484,897","458,245","54.79K","-0.95%"
"2018年12月01日","471,373","451,630","485,450","443,599","51.07K","4.34%"
"2018年11月30日","451,775","482,374","489,228","439,745","84.31K","-6.33%"
"2018年11月29日","482,315","480,941","499,964","463,833","82.78K","0.29%"
"2018年11月28日","480,942","430,620","495,687","430,472","84.10K","11.69%"
"2018年11月27日","430,620","425,349","436,439","407,951","70.78K","1.27%"
"2018年11月26日","425,235","445,482","463,494","402,877","87.87K","-4.55%"
"2018年11月25日","445,502","427,879","524,797","391,361","115.53K","4.09%"
"2018年11月24日","427,999","485,203","495,517","415,675","52.69K","-11.79%"
"2018年11月23日","485,197","483,385","492,410","462,035","68.98K","0.41%"
"2018年11月22日","483,231","514,068","519,452","479,845","58.16K","-5.96%"
"2018年11月21日","513,865","490,857","525,470","478,657","101.14K","4.68%"
"2018年11月20日","490,869","534,254","551,476","461,375","146.42K","-8.17%"
"2018年11月19日","534,517","629,352","629,579","528,640","109.66K","-15.07%"
"2018年11月18日","629,336","622,795","636,283","622,634","23.70K","1.05%"
"2018年11月17日","622,777","622,895","627,032","616,194","22.65K","-0.02%"
"2018年11月16日","622,926","635,082","638,032","611,449","50.25K","-1.91%"
"2018年11月15日","635,067","641,822","648,120","589,652","83.22K","-1.15%"
"2018年11月14日","642,436","712,648","717,230","596,449","75.02K","-9.86%"
"2018年11月13日","712,708","719,589","719,673","711,274","38.44K","-0.97%"
"2018年11月12日","719,697","722,032","725,899","717,117","25.90K","-0.33%"
"2018年11月11日","722,063","720,872","723,999","712,310","19.38K","0.16%"
"2018年11月10日","720,895","719,753","725,047","719,236","15.88K","0.16%"
"2018年11月09日","719,753","727,014","728,074","716,447","29.92K","-1.00%"
"2018年11月08日","727,012","735,656","737,500","725,712","27.25K","-1.18%"
"2018年11月07日","735,699","729,869","742,712","727,589","35.19K","0.80%"
"2018年11月06日","729,862","724,094","731,065","721,631","26.48K","0.79%"
"2018年11月05日","724,132","725,783","727,746","719,583","21.16K","-0.22%"
"2018年11月04日","725,753","716,297","730,480","714,367","24.60K","1.32%"
"2018年11月03日","716,272","717,226","717,485","713,490","12.91K","-0.14%"
"2018年11月02日","717,279","712,964","718,515","712,964","18.56K","0.60%"
"2018年11月01日","712,998","711,131","714,948","708,621","16.57K","0.26%"
"2018年10月31日","711,165","707,609","716,463","701,507","25.05K","0.50%"
"2018年10月30日","707,628","703,111","709,477","702,513","23.40K","0.64%"
"2018年10月29日","703,120","715,813","716,229","695,530","33.47K","-1.78%"
"2018年10月28日","715,853","715,768","717,163","712,929","12.11K","0.03%"
"2018年10月27日","715,667","716,235","717,431","714,143","10.94K","-0.08%"
"2018年10月26日","716,254","718,108","721,614","712,338","23.14K","-0.26%"
"2018年10月25日","718,107","717,712","720,841","712,404","19.26K","0.06%"
"2018年10月24日","717,707","716,914","724,842","716,611","19.37K","0.11%"
"2018年10月23日","716,909","721,504","721,600","713,677","17.79K","-0.63%"
"2018年10月22日","721,489","720,493","722,590","717,020","17.43K","0.14%"
"2018年10月21日","720,499","719,626","725,782","718,723","19.45K","0.12%"
"2018年10月20日","719,648","717,460","722,046","715,233","16.42K","0.31%"
"2018年10月19日","717,406","717,535","720,802","713,679","20.65K","-0.02%"
"2018年10月18日","717,517","725,091","729,448","711,091","26.84K","-1.04%"
"2018年10月17日","725,091","725,823","726,735","719,777","25.05K","-0.10%"
"2018年10月16日","725,818","719,191","728,587","716,345","34.75K","0.86%"
"2018年10月15日","719,629","694,340","746,877","690,948","69.67K","3.64%"
"2018年10月14日","694,330","695,765","702,909","691,126","21.59K","-0.20%"
"2018年10月13日","695,743","695,299","697,931","692,968","15.16K","0.06%"
"2018年10月12日","695,299","690,034","701,663","685,220","29.80K","0.77%"
"2018年10月11日","690,002","731,585","731,694","686,267","60.91K","-5.68%"
"2018年10月10日","731,585","744,075","744,075","727,628","33.48K","-1.69%"
"2018年10月09日","744,169","746,407","746,793","741,119","20.00K","-0.30%"
"2018年10月08日","746,402","745,224","752,183","741,563","24.96K","0.16%"
"2018年10月07日","745,227","744,174","746,994","739,173","16.79K","0.14%"
"2018年10月06日","744,203","747,993","748,918","742,566","17.27K","-0.49%"
"2018年10月05日","747,902","745,273","752,368","740,742","26.41K","0.35%"
"2018年10月04日","745,274","738,660","753,011","737,494","36.16K","0.87%"
"2018年10月03日","738,862","736,400","741,094","726,079","33.39K","0.33%"
"2018年10月02日","736,450","746,516","748,353","733,631","27.89K","-1.35%"
"2018年10月01日","746,516","748,720","753,655","739,213","30.97K","-0.30%"
"2018年09月30日","748,743","746,625","752,565","738,385","26.64K","0.28%"
"2018年09月29日","746,623","749,812","750,481","732,985","36.72K","-0.42%"
"2018年09月28日","749,809","753,214","767,012","739,927","52.30K","-0.46%"
"2018年09月27日","753,271","726,914","760,413","724,430","38.36K","3.63%"
"2018年09月26日","726,912","725,192","736,749","719,615","33.92K","0.25%"
"2018年09月25日","725,111","738,519","738,629","714,834","44.65K","-1.82%"
"2018年09月24日","738,549","749,504","750,780","735,527","27.36K","-1.46%"
"2018年09月23日","749,522","749,977","756,914","744,381","21.03K","-0.05%"
"2018年09月22日","749,930","754,268","761,868","737,934","33.23K","-0.58%"
"2018年09月21日","754,268","724,759","759,210","724,711","50.60K","4.07%"
"2018年09月20日","724,762","710,431","729,301","709,874","30.72K","2.03%"
"2018年09月19日","710,342","709,964","726,626","688,206","46.60K","0.02%"
"2018年09月18日","710,182","698,342","714,533","696,564","34.99K","1.70%"
"2018年09月17日","698,344","726,707","729,886","690,165","65.18K","-3.90%"
"2018年09月16日","726,707","729,437","729,871","716,081","24.93K","-0.38%"
"2018年09月15日","729,446","725,298","733,055","723,633","28.83K","0.55%"
"2018年09月14日","725,451","726,719","736,300","716,132","43.69K","-0.20%"
"2018年09月13日","726,872","703,681","729,229","703,648","45.75K","3.30%"
"2018年09月12日","703,668","701,267","705,227","693,875","32.69K","0.33%"
"2018年09月11日","701,324","700,963","712,009","689,608","37.03K","0.09%"
"2018年09月10日","700,690","691,756","704,669","691,756","44.43K","1.33%"
"2018年09月09日","691,504","689,248","714,812","685,629","43.87K","0.34%"
"2018年09月08日","689,158","711,506","718,695","682,272","47.80K","-3.12%"
"2018年09月07日","711,350","718,689","723,050","701,399","51.72K","-1.01%"
"2018年09月06日","718,635","743,691","745,427","698,363","90.60K","-3.37%"
"2018年09月05日","743,716","818,747","832,041","737,915","72.30K","-9.17%"
"2018年09月04日","818,789","805,645","823,663","804,103","39.60K","1.63%"
"2018年09月03日","805,654","810,049","812,080","796,746","52.08K","-0.54%"
"2018年09月02日","810,062","798,850","813,893","790,472","62.31K","1.41%"
"2018年09月01日","798,837","777,511","805,532","777,511","48.60K","2.72%"
"2018年08月31日","777,658","778,005","785,208","764,102","61.33K","0.01%"
"2018年08月30日","777,607","784,005","786,232","754,740","63.52K","-0.82%"
"2018年08月29日","783,996","786,543","788,486","778,369","39.35K","-0.34%"
"2018年08月28日","786,650","765,409","792,613","754,188","60.95K","2.78%"
"2018年08月27日","765,357","745,524","765,440","739,265","38.09K","2.65%"
"2018年08月26日","745,629","747,320","750,761","730,449","41.41K","-0.23%"
"2018年08月25日","747,320","743,142","756,872","738,835","45.07K","0.56%"
"2018年08月24日","743,171","724,642","746,946","720,184","46.27K","2.56%"
"2018年08月23日","724,648","703,747","728,868","702,284","39.98K","2.99%"
"2018年08月22日","703,616","714,276","755,805","692,496","78.58K","-1.49%"
"2018年08月21日","714,287","690,591","718,144","688,875","47.86K","3.41%"
"2018年08月20日","690,728","717,045","720,415","688,077","49.56K","-3.67%"
"2018年08月19日","717,048","709,147","723,626","700,797","42.21K","1.11%"
"2018年08月18日","709,147","729,151","733,345","698,472","53.56K","-2.74%"
"2018年08月17日","729,098","703,079","729,566","700,163","63.34K","3.70%"
"2018年08月16日","703,078","691,347","717,964","686,135","66.95K","1.71%"
"2018年08月15日","691,237","688,769","729,499","688,354","92.01K","0.35%"
"2018年08月14日","688,834","697,254","697,745","657,592","80.07K","-1.22%"
"2018年08月13日","697,306","702,448","724,228","685,851","61.14K","-0.73%"
"2018年08月12日","702,448","692,667","717,256","685,059","54.46K","1.45%"
"2018年08月11日","692,403","686,161","721,285","673,315","57.26K","0.92%"
"2018年08月10日","686,070","726,030","730,362","673,280","71.97K","-5.50%"
"2018年08月09日","725,990","695,718","734,029","687,969","69.87K","4.36%"
"2018年08月08日","695,628","748,608","748,608","681,314","91.29K","-7.06%"
"2018年08月07日","748,507","770,772","795,186","745,459","62.00K","-2.89%"
"2018年08月06日","770,771","783,228","796,203","760,284","58.78K","-1.59%"
"2018年08月05日","783,254","779,529","784,933","761,309","53.78K","0.48%"
"2018年08月04日","779,507","824,016","829,825","765,872","65.63K","-5.40%"
"2018年08月03日","823,985","840,706","840,706","813,951","64.25K","-1.99%"
"2018年08月02日","840,702","847,630","859,097","832,115","55.73K","-0.81%"
"2018年08月01日","847,554","862,543","865,239","831,631","72.37K","-1.73%"
"2018年07月31日","862,479","902,931","903,400","851,939","77.91K","-4.49%"
"2018年07月30日","903,003","908,195","914,481","868,769","63.18K","-0.53%"
"2018年07月29日","907,856","910,565","915,695","902,362","37.71K","-0.31%"
"2018年07月28日","910,710","907,912","910,883","894,737","39.50K","0.31%"
"2018年07月27日","907,898","878,796","918,146","860,685","66.06K","3.32%"
"2018年07月26日","878,723","904,076","918,933","870,149","55.90K","-2.79%"
"2018年07月25日","903,986","933,539","943,697","887,568","71.89K","-3.18%"
"2018年07月24日","933,676","859,479","942,501","856,200","86.44K","8.63%"
"2018年07月23日","859,490","822,627","866,586","820,424","64.30K","4.47%"
"2018年07月22日","822,691","824,807","838,100","816,535","40.13K","-0.26%"
"2018年07月21日","824,807","819,572","827,369","758,407","35.97K","0.64%"
"2018年07月20日","819,576","835,090","851,259","812,613","54.88K","-1.86%"
"2018年07月19日","835,077","824,452","841,953","597,993","51.51K","1.26%"
"2018年07月18日","824,713","822,702","847,617","810,298","68.58K","0.26%"
"2018年07月17日","822,581","757,795","838,520","749,233","63.56K","8.51%"
"2018年07月16日","758,058","712,797","760,267","712,258","49.81K","6.35%"
"2018年07月15日","712,795","703,106","716,539","701,313","25.78K","1.37%"
"2018年07月14日","703,151","699,208","707,995","696,371","23.73K","0.56%"
"2018年07月13日","699,235","703,456","710,153","688,911","30.71K","-0.52%"
"2018年07月12日","702,919","715,463","715,463","684,642","36.50K","-1.76%"
"2018年07月11日","715,500","701,532","715,863","699,343","32.36K","2.00%"
"2018年07月10日","701,474","738,295","739,059","698,356","47.62K","-4.99%"
"2018年07月09日","738,293","738,261","748,408","734,906","30.54K","0.01%"
"2018年07月08日","738,250","742,187","744,845","735,080","27.87K","-0.54%"
"2018年07月07日","742,230","728,630","744,792","719,488","29.62K","1.87%"
"2018年07月06日","728,579","722,868","730,267","714,566","35.17K","0.80%"
"2018年07月05日","722,781","727,407","738,485","715,142","45.15K","-0.66%"
"2018年07月04日","727,568","719,736","743,226","706,666","46.15K","1.12%"
"2018年07月03日","719,506","733,286","738,754","715,582","32.39K","-1.89%"
"2018年07月02日","733,393","703,236","822,011","700,582","30.85K","4.29%"
"2018年07月01日","703,226","707,390","822,371","694,213","26.02K","-0.60%"
"2018年06月30日","707,450","684,727","815,516","684,569","39.74K","3.31%"
"2018年06月29日","684,786","653,057","810,950","646,922","40.30K","4.86%"
"2018年06月28日","653,060","678,609","679,570","649,527","33.00K","-3.76%"
"2018年06月27日","678,608","671,919","816,312","668,506","28.94K","1.00%"
"2018年06月26日","671,916","689,113","691,109","670,159","29.37K","-2.49%"
"2018年06月25日","689,082","679,433","807,911","673,539","43.43K","1.42%"
"2018年06月24日","679,437","683,368","814,852","645,755","47.47K","-0.56%"
"2018年06月23日","683,263","674,318","802,205","674,318","34.19K","1.33%"
"2018年06月22日","674,309","741,253","742,496","660,061","62.64K","-9.03%"
"2018年06月21日","741,243","746,281","826,710","738,824","33.72K","-0.66%"
"2018年06月20日","746,187","743,710","750,196","725,033","30.00K","0.33%"
"2018年06月19日","743,729","738,681","750,197","729,857","29.12K","0.69%"
"2018年06月18日","738,656","716,229","824,820","711,253","33.75K","3.12%"
"2018年06月17日","716,280","721,577","824,436","715,029","22.63K","-0.73%"
"2018年06月16日","721,577","711,443","821,258","706,381","28.83K","1.44%"
"2018年06月15日","711,368","737,977","738,903","708,135","35.24K","-3.60%"
"2018年06月14日","737,954","701,435","813,941","701,091","43.94K","5.21%"
"2018年06月13日","701,435","729,043","820,326","696,624","51.09K","-3.81%"
"2018年06月12日","729,229","764,272","824,748","723,516","43.56K","-4.60%"
"2018年06月11日","764,351","744,558","819,848","738,691","43.74K","2.65%"
"2018年06月10日","744,608","825,234","835,980","733,170","52.45K","-9.77%"
"2018年06月09日","825,237","836,074","841,858","823,521","25.81K","-1.32%"
"2018年06月08日","836,249","845,742","845,757","827,605","30.11K","-1.12%"
"2018年06月07日","845,717","845,233","850,290","838,572","28.15K","0.06%"
"2018年06月06日","845,223","837,061","850,753","827,342","29.38K","0.98%"
"2018年06月05日","837,061","825,506","839,982","813,097","43.38K","1.40%"
"2018年06月04日","825,500","846,174","849,962","819,295","38.28K","-2.45%"
"2018年06月03日","846,249","832,275","847,591","830,963","35.79K","1.68%"
"2018年06月02日","832,271","823,742","840,034","818,094","44.92K","1.03%"
"2018年06月01日","823,757","816,152","831,413","810,836","41.04K","0.93%"
"2018年05月31日","816,149","806,003","829,961","801,273","46.01K","1.26%"
"2018年05月30日","806,026","813,873","825,232","797,296","50.17K","-0.96%"
"2018年05月29日","813,864","780,472","827,893","772,889","58.65K","4.28%"
"2018年05月28日","780,471","811,007","821,049","778,320","50.81K","-3.75%"
"2018年05月27日","810,869","809,113","815,369","799,807","40.05K","0.21%"
"2018年05月26日","809,189","822,324","838,241","803,145","42.00K","-1.60%"
"2018年05月25日","822,324","832,604","843,901","810,205","56.35K","-1.24%"
"2018年05月24日","832,644","830,570","856,050","806,986","68.84K","0.25%"
"2018年05月23日","830,571","891,978","894,890","827,170","76.67K","-6.88%"
"2018年05月22日","891,979","933,759","935,000","885,418","55.77K","-4.47%"
"2018年05月21日","933,756","944,575","946,698","931,339","52.55K","-1.15%"
"2018年05月20日","944,619","911,987","948,199","907,097","54.79K","3.61%"
"2018年05月19日","911,708","914,545","929,349","904,682","63.39K","-0.32%"
"2018年05月18日","914,597","894,221","919,936","881,479","62.29K","2.28%"
"2018年05月17日","894,168","921,653","933,161","888,206","59.95K","-3.02%"
"2018年05月16日","921,999","936,822","939,556","901,242","69.25K","-1.58%"
"2018年05月15日","936,818","954,330","973,707","931,324","68.91K","-1.83%"
"2018年05月14日","954,322","954,376","981,305","915,827","81.54K","-0.06%"
"2018年05月13日","954,861","929,181","964,538","916,161","62.03K","2.97%"
"2018年05月12日","927,276","913,647","967,799","895,030","76.05K","1.49%"
"2018年05月11日","913,698","981,877","984,673","905,066","77.18K","-7.01%"
"2018年05月10日","982,601","1,015,587","1,021,293","975,310","58.95K","-3.24%"
"2018年05月09日","1,015,544","995,005","1,023,305","980,132","52.01K","2.02%"
"2018年05月08日","995,437","1,019,895","1,022,097","985,002","57.92K","-2.97%"
"2018年05月07日","1,025,931","1,049,970","1,051,474","1,002,481","65.49K","-2.29%"
"2018年05月06日","1,049,941","1,073,428","1,079,311","1,028,107","59.86K","-2.05%"
"2018年05月05日","1,071,917","1,055,573","1,082,900","1,053,415","51.07K","1.60%"
"2018年05月04日","1,054,995","1,061,301","1,063,439","1,039,434","53.88K","-0.60%"
"2018年05月03日","1,061,389","1,009,478","1,067,352","1,003,845","64.89K","5.13%"
"2018年05月02日","1,009,551","995,141","1,012,887","986,875","46.89K","1.47%"
"2018年05月01日","994,881","1,011,182","1,011,341","972,385","64.01K","-1.61%"
"2018年04月30日","1,011,192","1,020,166","1,021,454","999,399","54.35K","-0.86%"
"2018年04月29日","1,019,980","1,004,921","1,022,343","1,003,033","60.13K","1.55%"
"2018年04月28日","1,004,412","974,558","1,022,880","968,484","66.11K","3.05%"
"2018年04月27日","974,639","1,007,556","1,023,847","969,945","66.95K","-3.28%"
"2018年04月26日","1,007,700","970,245","1,012,049","943,125","85.94K","3.88%"
"2018年04月25日","970,044","1,059,829","1,065,846","950,002","115.19K","-8.49%"
"2018年04月24日","1,060,042","973,860","1,069,762","972,097","101.48K","8.84%"
"2018年04月23日","973,983","948,810","974,465","947,214","55.33K","2.64%"
"2018年04月22日","948,935","959,557","968,760","945,487","64.06K","-1.14%"
"2018年04月21日","959,869","956,704","976,002","930,112","79.93K","0.34%"
"2018年04月20日","956,630","892,190","961,734","887,684","77.41K","7.23%"
"2018年04月19日","892,158","876,667","894,280","870,674","52.17K","1.78%"
"2018年04月18日","876,551","848,151","880,414","847,008","54.51K","3.30%"
"2018年04月17日","848,528","865,177","874,066","836,848","68.61K","-1.97%"
"2018年04月16日","865,584","901,684","908,038","850,058","72.62K","-4.00%"
"2018年04月15日","901,628","859,223","903,021","859,223","63.01K","4.97%"
"2018年04月14日","858,977","846,379","879,267","840,095","71.96K","1.49%"
"2018年04月13日","846,356","849,866","887,658","828,911","99.03K","-0.44%"
"2018年04月12日","850,076","742,343","855,093","725,243","97.00K","14.52%"
"2018年04月11日","742,293","733,727","744,980","730,223","44.19K","1.17%"
"2018年04月10日","733,732","726,971","737,769","715,367","50.27K","0.98%"
"2018年04月09日","726,631","752,295","769,689","709,160","70.28K","-3.41%"
"2018年04月08日","752,286","738,261","759,792","737,986","48.60K","1.90%"
"2018年04月07日","738,268","711,913","752,039","709,958","54.88K","3.70%"
"2018年04月06日","711,899","730,102","739,826","703,278","65.34K","-2.53%"
"2018年04月05日","730,381","730,071","745,307","705,657","78.19K","0.01%"
"2018年04月04日","730,330","795,210","796,160","721,330","75.05K","-8.22%"
"2018年04月03日","795,783","752,509","804,815","747,596","74.58K","5.68%"
"2018年04月02日","753,003","728,541","763,196","724,280","60.67K","3.45%"
"2018年04月01日","727,902","744,005","755,141","684,539","71.50K","-2.20%"
"2018年03月31日","744,244","729,683","770,381","729,683","72.44K","1.98%"
"2018年03月30日","729,778","750,269","777,026","705,397","99.69K","-2.64%"
"2018年03月29日","749,603","852,144","854,592","745,145","81.95K","-12.08%"
"2018年03月28日","852,606","829,332","860,260","824,001","55.90K","2.81%"
"2018年03月27日","829,301","866,700","872,996","825,567","67.69K","-4.15%"
"2018年03月26日","865,208","895,302","899,467","834,631","65.09K","-3.35%"
"2018年03月25日","895,213","905,859","913,709","887,178","58.96K","-1.16%"
"2018年03月24日","905,684","942,880","945,532","902,061","65.74K","-3.92%"
"2018年03月23日","942,631","922,507","942,834","876,507","73.37K","2.19%"
"2018年03月22日","922,459","950,941","968,822","902,908","62.36K","-3.05%"
"2018年03月21日","951,448","960,038","982,610","942,141","66.82K","-0.90%"
"2018年03月20日","960,107","925,195","971,769","899,854","70.77K","3.68%"
"2018年03月19日","926,060","870,142","936,599","870,101","85.58K","6.48%"
"2018年03月18日","869,715","843,147","883,887","780,617","85.99K","3.08%"
"2018年03月17日","843,688","882,916","892,959","831,193","62.03K","-4.43%"
"2018年03月16日","882,816","888,435","920,263","851,729","76.88K","-0.46%"
"2018年03月15日","886,864","881,533","902,322","827,270","103.85K","0.62%"
"2018年03月14日","881,442","983,445","1,003,807","850,936","90.66K","-10.34%"
"2018年03月13日","983,046","979,908","1,018,728","960,750","102.16K","0.31%"
"2018年03月12日","980,020","1,026,503","1,062,858","940,860","103.08K","-4.46%"
"2018年03月11日","1,025,805","950,569","1,046,036","917,617","96.98K","7.92%"
"2018年03月10日","950,522","997,377","1,018,394","938,717","85.70K","-4.69%"
"2018年03月09日","997,285","999,321","1,010,443","902,389","118.11K","-0.19%"
"2018年03月08日","999,179","1,051,305","1,087,648","991,342","97.41K","-5.02%"
"2018年03月07日","1,051,956","1,137,822","1,159,517","1,010,694","97.72K","-7.52%"
"2018年03月06日","1,137,454","1,224,912","1,224,912","1,117,292","86.06K","-7.20%"
"2018年03月05日","1,225,737","1,208,175","1,243,332","1,199,676","59.95K","1.40%"
"2018年03月04日","1,208,783","1,214,173","1,214,825","1,171,054","64.29K","-0.41%"
"2018年03月03日","1,213,768","1,168,885","1,216,742","1,168,885","68.63K","3.77%"
"2018年03月02日","1,169,717","1,161,642","1,187,266","1,143,401","68.06K","0.71%"
"2018年03月01日","1,161,430","1,105,655","1,176,039","1,094,854","66.63K","5.08%"
"2018年02月28日","1,105,306","1,142,933","1,187,217","1,100,384","71.19K","-3.29%"
"2018年02月27日","1,142,930","1,106,716","1,161,530","1,089,654","72.58K","3.26%"
"2018年02月26日","1,106,850","1,032,922","1,116,452","1,002,616","83.74K","7.31%"
"2018年02月25日","1,031,481","1,049,856","1,057,617","979,172","82.61K","-1.74%"
"2018年02月24日","1,049,767","1,096,462","1,128,035","1,008,882","84.84K","-4.35%"
"2018年02月23日","1,097,520","1,055,674","1,126,177","1,030,466","90.18K","3.97%"
"2018年02月22日","1,055,629","1,148,077","1,187,956","1,021,624","106.23K","-8.07%"
"2018年02月21日","1,148,353","1,216,292","1,218,516","1,115,563","102.66K","-5.44%"
"2018年02月20日","1,214,463","1,202,478","1,275,228","1,201,941","89.45K","1.00%"
"2018年02月19日","1,202,489","1,117,591","1,208,908","1,110,997","79.05K","7.56%"
"2018年02月18日","1,117,994","1,186,530","1,250,879","1,090,782","111.76K","-5.71%"
"2018年02月17日","1,185,721","1,089,148","1,190,586","1,078,531","83.23K","8.79%"
"2018年02月16日","1,089,881","1,075,288","1,099,778","1,039,780","82.22K","1.45%"
"2018年02月15日","1,074,354","1,015,486","1,086,828","1,000,599","96.56K","3.64%"
"2018年02月14日","1,036,602","934,361","1,036,602","902,609","80.55K","10.94%"
"2018年02月13日","934,361","976,118","979,697","906,473","84.26K","-4.28%"
"2018年02月12日","976,118","903,176","980,328","858,823","82.15K","8.08%"
"2018年02月11日","903,176","929,739","1,000,830","860,484","90.42K","-2.86%"
"2018年02月10日","929,739","951,803","1,029,811","861,334","90.08K","6.82%"
"2018年02月09日","870,381","923,396","994,480","840,803","90.83K","-5.74%"
"2018年02月08日","923,396","826,333","962,891","769,983","105.48K","11.75%"
"2018年02月07日","826,333","860,194","956,883","629,086","120.28K","-3.94%"
"2018年02月06日","860,194","652,592","907,593","603,070","145.14K","31.81%"
"2018年02月05日","652,592","875,690","1,017,726","652,592","121.92K","-25.48%"
"2018年02月04日","875,690","996,664","1,027,634","858,845","85.35K","-12.14%"
"2018年02月03日","996,664","955,897","1,027,605","844,630","88.90K","4.26%"
"2018年02月02日","955,897","972,659","1,130,578","842,708","131.33K","-12.50%"
"2018年02月01日","1,092,476","1,087,452","1,153,020","950,066","99.05K","0.46%"
"2018年01月31日","1,087,452","1,163,152","1,251,128","1,077,533","66.36K","-6.51%"
"2018年01月30日","1,163,152","1,226,618","1,255,686","1,134,221","70.69K","-5.17%"
"2018年01月29日","1,226,618","1,247,777","1,290,003","1,201,913","52.37K","-1.70%"
"2018年01月28日","1,247,777","1,249,673","1,288,641","1,184,558","55.26K","-0.15%"
"2018年01月27日","1,249,673","1,220,742","1,282,877","1,159,148","63.45K","2.37%"
"2018年01月26日","1,220,742","1,278,040","1,381,261","1,155,268","73.44K","-3.30%"
"2018年01月25日","1,262,344","1,266,867","1,297,564","1,190,642","59.07K","-0.36%"
"2018年01月24日","1,266,867","1,225,957","1,294,197","1,167,432","66.69K","3.34%"
"2018年01月23日","1,225,957","1,209,404","1,366,132","1,122,604","75.91K","1.37%"
"2018年01月22日","1,209,404","1,279,903","1,466,934","1,128,168","80.36K","-5.51%"
"2018年01月21日","1,279,903","1,492,052","1,502,502","1,254,834","68.97K","-14.22%"
"2018年01月20日","1,492,052","1,363,564","1,551,343","1,267,155","68.23K","9.42%"
"2018年01月19日","1,363,564","1,369,012","1,498,138","1,261,504","72.28K","-0.40%"
"2018年01月18日","1,369,012","1,324,203","1,551,498","1,055,489","92.18K","3.38%"
"2018年01月17日","1,324,203","1,355,490","1,612,900","1,050,067","111.32K","-2.31%"
"2018年01月16日","1,355,490","1,749,947","1,812,176","1,256,299","59.08K","-22.04%"
"2018年01月15日","1,738,655","1,690,763","1,807,408","1,495,439","29.69K","2.83%"
"2018年01月14日","1,690,763","1,750,678","1,818,284","1,632,291","8.53K","-3.42%"
"2018年01月13日","1,750,678","1,763,028","1,834,002","1,526,455","8.99K","-0.70%"
"2018年01月12日","1,763,028","1,707,610","1,876,852","1,525,112","16.01K","3.25%"
"2018年01月11日","1,707,610","1,834,312","1,974,692","0","16.04K","-6.91%"
"2018年01月10日","1,834,312","1,845,553","1,974,692","1,670,330","15.04K","-0.61%"
"2018年01月09日","1,845,553","1,883,626","2,044,610","1,713,907","12.64K","-2.02%"
"2018年01月08日","1,883,626","1,931,984","2,058,196","1,718,312","12.31K","-2.50%"
"2018年01月07日","1,931,984","2,094,931","2,139,625","1,930,144","5.75K","-5.63%"
"2018年01月06日","2,047,219","1,979,221","2,154,207","1,739,861","8.06K","12.51%"
"2018年01月05日","1,819,531","1,788,935","2,099,139","1,704,914","22.17K","1.71%"
"2018年01月04日","1,788,935","1,750,245","1,869,091","1,648,288","13.42K","2.21%"
"2018年01月03日","1,750,245","1,665,757","1,750,649","1,464,085","10.01K","5.07%"
"2018年01月02日","1,665,757","1,587,760","1,701,801","1,463,034","11.19K","4.91%"
"2018年01月01日","1,587,760","1,656,187","1,694,063","1,476,679","10.88K","-4.13%"
"2017年12月31日","1,656,187","1,576,459","1,802,971","1,399,025","21.07K","11.93%"
"2017年12月30日","1,479,672","1,721,602","1,802,497","1,398,622","18.71K","-14.05%"
"2017年12月29日","1,721,602","1,668,876","1,849,059","1,629,487","14.78K","3.16%"
"2017年12月28日","1,668,876","1,841,033","1,912,085","1,622,267","23.14K","-9.35%"
"2017年12月27日","1,841,033","1,800,062","1,914,526","1,608,896","22.29K","-0.41%"
