"日付け","終値","始値","高値","安値","出来高","前日比%"
"2019年09月25日","909,147","918,018","938,414","885,264","45.85K","-0.97%"
"2019年09月24日","918,035","1,043,463","1,053,047","860,693","62.19K","-12.02%"
"2019年09月23日","1,043,458","1,081,833","1,083,346","1,036,921","22.69K","-3.55%"
"2019年09月22日","1,081,839","1,074,232","1,085,437","1,060,224","16.59K","0.72%"
"2019年09月21日","1,074,150","1,094,060","1,094,931","1,068,934","15.59K","-1.82%"
"2019年09月20日","1,094,064","1,109,606","1,113,048","1,086,818","14.69K","-1.38%"
"2019年09月19日","1,109,415","1,100,748","1,115,012","1,051,251","28.72K","0.78%"
"2019年09月18日","1,100,817","1,101,390","1,108,961","1,092,879","14.56K","-0.05%"
"2019年09月17日","1,101,379","1,110,002","1,111,314","1,097,031","13.80K","-0.78%"
"2019年09月16日","1,110,003","1,111,706","1,118,266","1,090,242","15.65K","-0.15%"
"2019年09月15日","1,111,696","1,119,324","1,121,938","1,107,573","10.05K","-0.68%"
"2019年09月14日","1,119,315","1,120,682","1,128,369","1,108,224","13.80K","-0.15%"
"2019年09月13日","1,120,984","1,127,431","1,129,250","1,099,531","17.78K","-0.55%"
"2019年09月12日","1,127,133","1,096,574","1,130,854","1,084,536","21.80K","2.83%"
"2019年09月11日","1,096,143","1,086,388","1,105,858","1,063,242","25.48K","0.86%"
"2019年09月10日","1,086,774","1,106,850","1,115,607","1,068,543","20.92K","-1.81%"
"2019年09月09日","1,106,848","1,112,554","1,126,234","1,077,180","27.84K","-0.56%"
"2019年09月08日","1,113,053","1,121,141","1,133,275","1,095,082","17.26K","-0.72%"
"2019年09月07日","1,121,141","1,104,404","1,130,492","1,102,823","15.93K","1.52%"
"2019年09月06日","1,104,404","1,131,923","1,171,085","1,093,636","34.37K","-2.43%"
"2019年09月05日","1,131,853","1,124,741","1,135,506","1,116,119","19.00K","0.60%"
"2019年09月04日","1,125,091","1,125,104","1,148,820","1,103,187","27.77K","-0.00%"
"2019年09月03日","1,125,100","1,101,409","1,141,873","1,090,394","32.07K","2.10%"
"2019年09月02日","1,102,006","1,036,477","1,110,672","1,035,885","26.60K","6.32%"
"2019年09月01日","1,036,477","1,020,446","1,043,510","1,014,092","14.82K","1.57%"
"2019年08月31日","1,020,456","1,019,072","1,027,216","1,004,199","13.74K","0.17%"
"2019年08月30日","1,018,775","1,011,567","1,031,311","997,428","19.65K","0.79%"
"2019年08月29日","1,010,822","1,032,519","1,032,519","991,933","26.50K","-2.10%"
"2019年08月28日","1,032,525","1,076,180","1,087,798","1,015,156","29.32K","-4.06%"
"2019年08月27日","1,076,233","1,098,606","1,100,194","1,062,928","20.80K","-2.01%"
"2019年08月26日","1,098,279","1,064,356","1,118,527","1,064,356","34.30K","3.19%"
"2019年08月25日","1,064,358","1,069,807","1,090,996","1,044,314","25.71K","-0.47%"
"2019年08月24日","1,069,334","1,097,286","1,099,996","1,045,267","22.56K","-2.52%"
"2019年08月23日","1,097,012","1,077,133","1,111,467","1,069,010","23.28K","1.85%"
"2019年08月22日","1,077,133","1,080,578","1,089,298","1,039,980","29.08K","-0.33%"
"2019年08月21日","1,080,693","1,144,069","1,148,606","1,050,705","35.33K","-5.33%"
"2019年08月20日","1,141,535","1,164,733","1,167,958","1,124,564","23.45K","-1.99%"
"2019年08月19日","1,164,709","1,099,205","1,166,239","1,092,611","25.86K","5.96%"
"2019年08月18日","1,099,196","1,089,033","1,119,309","1,072,021","22.53K","0.93%"
"2019年08月17日","1,089,031","1,100,574","1,114,318","1,064,944","24.93K","-1.05%"
"2019年08月16日","1,100,574","1,094,216","1,121,070","1,036,560","46.63K","0.59%"
"2019年08月15日","1,094,118","1,063,044","1,110,015","1,004,669","50.72K","2.99%"
"2019年08月14日","1,062,362","1,159,147","1,159,283","1,054,244","39.11K","-8.31%"
"2019年08月13日","1,158,606","1,199,805","1,206,984","1,145,182","23.80K","-3.43%"
"2019年08月12日","1,199,796","1,218,511","1,218,511","1,183,860","17.34K","-1.49%"
"2019年08月11日","1,217,993","1,193,006","1,221,204","1,175,566","20.19K","2.08%"
"2019年08月10日","1,193,119","1,253,530","1,264,688","1,187,136","25.58K","-4.79%"
"2019年08月09日","1,253,158","1,269,597","1,274,165","1,230,475","27.24K","-1.38%"
"2019年08月08日","1,270,743","1,267,829","1,274,922","1,219,010","34.01K","0.23%"
"2019年08月07日","1,267,817","1,219,916","1,283,608","1,209,605","43.50K","3.87%"
"2019年08月06日","1,220,612","1,246,178","1,308,830","1,194,666","46.98K","-2.05%"
"2019年08月05日","1,246,146","1,170,495","1,266,047","1,170,156","42.07K","6.48%"
"2019年08月04日","1,170,342","1,153,592","1,180,650","1,129,115","25.90K","1.45%"
"2019年08月03日","1,153,600","1,123,812","1,162,792","1,121,779","21.99K","2.68%"
"2019年08月02日","1,123,514","1,119,380","1,140,025","1,107,163","22.86K","0.37%"
"2019年08月01日","1,119,385","1,099,757","1,127,968","1,078,860","22.44K","1.79%"
"2019年07月31日","1,099,649","1,042,077","1,100,029","1,039,655","24.79K","5.53%"
"2019年07月30日","1,042,031","1,034,944","1,059,166","1,022,539","17.66K","0.69%"
"2019年07月29日","1,034,920","1,036,566","1,054,426","1,022,514","18.90K","-0.16%"
"2019年07月28日","1,036,581","1,030,585","1,043,297","994,219","19.20K","0.58%"
"2019年07月27日","1,030,630","1,070,596","1,108,572","1,014,109","27.27K","-3.73%"
"2019年07月26日","1,070,517","1,074,478","1,076,264","1,049,264","17.42K","-0.32%"
"2019年07月25日","1,073,921","1,057,645","1,103,162","1,054,469","22.12K","1.59%"
"2019年07月24日","1,057,124","1,068,551","1,072,928","1,030,066","28.36K","-1.08%"
"2019年07月23日","1,068,693","1,114,741","1,114,783","1,063,459","25.92K","-4.11%"
"2019年07月22日","1,114,452","1,142,463","1,153,049","1,089,337","25.87K","-2.45%"
"2019年07月21日","1,142,463","1,158,988","1,169,591","1,115,027","23.79K","-1.40%"
"2019年07月20日","1,158,721","1,134,879","1,195,855","1,122,467","33.32K","2.03%"
"2019年07月19日","1,135,677","1,145,263","1,160,685","1,096,116","42.72K","-0.84%"
"2019年07月18日","1,145,266","1,044,654","1,159,241","1,007,027","52.36K","9.63%"
"2019年07月17日","1,044,682","1,021,278","1,079,360","984,936","57.30K","2.30%"
"2019年07月16日","1,021,217","1,178,840","1,195,879","1,016,223","65.31K","-13.37%"
"2019年07月15日","1,178,830","1,102,400","1,198,470","1,070,242","53.00K","6.82%"
"2019年07月14日","1,103,529","1,234,966","1,242,148","1,094,478","51.43K","-10.64%"
"2019年07月13日","1,234,957","1,278,571","1,282,729","1,180,254","39.94K","-3.41%"
"2019年07月12日","1,278,599","1,236,534","1,290,603","1,204,777","38.61K","3.40%"
"2019年07月11日","1,236,521","1,314,151","1,314,151","1,198,323","58.04K","-5.89%"
"2019年07月10日","1,313,931","1,369,650","1,433,491","1,253,764","67.23K","-4.07%"
"2019年07月09日","1,369,663","1,337,616","1,393,010","1,318,995","42.85K","2.39%"
"2019年07月08日","1,337,688","1,246,587","1,349,285","1,231,124","32.98K","7.31%"
"2019年07月07日","1,246,565","1,223,797","1,258,046","1,208,693","24.09K","1.84%"
